Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2020,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
28,Testis,900,World,0,0,74458,2040,87907,13449,18.0625,0
29,Kidney and renal pelvis,900,World,0,0,431288,2020,431288,0,0,0
29,Kidney and renal pelvis,900,World,0,0,431288,2025,487522,56234,13.0386,0
29,Kidney and renal pelvis,900,World,0,0,431288,2030,546599,115311,26.7364,0
29,Kidney and renal pelvis,900,World,0,0,431288,2035,607130,175842,40.7714,0
29,Kidney and renal pelvis,900,World,0,0,431288,2040,666491,235203,54.535,0
3,Oropharynx,900,World,0,0,98412,2020,98412,0,0,0
3,Oropharynx,900,World,0,0,98412,2025,110422,12010,12.2038,0
3,Oropharynx,900,World,0,0,98412,2030,122394,23982,24.369,0
3,Oropharynx,900,World,0,0,98412,2035,133883,35471,36.0434,0
3,Oropharynx,900,World,0,0,98412,2040,144741,46329,47.0766,0
30,Bladder,900,World,0,0,573278,2020,573278,0,0,0
30,Bladder,900,World,0,0,573278,2025,664605,91327,15.9307,0
30,Bladder,900,World,0,0,573278,2030,766611,193333,33.7241,0
30,Bladder,900,World,0,0,573278,2035,877619,304341,53.0879,0
30,Bladder,900,World,0,0,573278,2040,990763,417485,72.8242,0
